amount,venue,address,city,state,zip,type
301796.39,Nick Campo - SVOG,6425 Estero Blvd ,Ft Myers Beach,FL,33931,Motion picture theater operator
10000000.00,"PTG-Florida, Inc. - SVOG",500 E Broward Blvd Suite 1740,Ft. Lauderdale,FL,33394,Live venue operator or promoter
161018.25,Baird Treasures LLC - SVOG,619 S Main Street ,Gainesville,FL,32601,Live venue operator or promoter
438758.28,"Bender Biz, Inc - SVOG",3514 NW 40TH ST ,Gainesville,FL,32606,Live venue operator or promoter
6081.68,"Gainesville Environmental Film and Arts Festival, Inc. dba Cinema Verd - SVOG",PO Box 358711 ,Gainesville,FL,32635,Live venue operator or promoter
240355.81,GLORY DAYS PRESENTS LLC - SVOG,3825 SW 19TH ST ,Gainesville,FL,32608,Live venue operator or promoter
460488.00,Hippodrome State Theatre - SVOG,25 SE 2nd Pl ,Gainesville,FL,32601,Theatrical producer
232627.28,PM Music Entertainment LLC DBA High Dive Bar and Venue - SVOG,210 SW 2nd Avenue Suite A,Gainesville,FL,32601,Live venue operator or promoter
109755.00,Santa Fe College - SVOG,3000 NW 83rd Street,Gainesville,FL,32606,Museum Operator
127428.74,simonsclub llc - SVOG,8 s main st ,Gainesville,FL,32601,Live venue operator or promoter
139191.83,The Gainesville Little Theater Inc. - SVOG,PO BOX 14233,Gainesville,FL,32604,Live performing arts organization operator
1353693.38,University of Florida - SVOG,P.O. BOX 112750 ,Gainesville,FL,32611,Live performing arts organization operator
89235.00,Mind Blowing Productions LLC. - SVOG,16424 Northdale Oaks Dr ,Greater Northdale,FL,33624,Talent representative
540.00,"A Wise Choice ENT, LLC - SVOG",805 Sky Pine Way Unit E1,Greenacres,FL,33415,Live venue operator or promoter
35950.49,"Team Greenhouse, LLC - SVOG",6547 LAKE EMMA RD ,Groveland,FL,34736,Theatrical producer
840911.46,Ashbrie Cinemas Inc - SVOG,1233 Crane Cove Blvd ,Gulf Breeze,Fl,32563,Motion picture theater operator
